"Name","Location","Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"GetTickCount","External[003ee520]","External Function","DWORD","KERNEL32.DLL","Imported","5","0"
"DebugBreak","External[003ee530]","External Function","void","KERNEL32.DLL","Imported","4","0"
"GetLogicalDriveStringsA","External[003ee53e]","External Function","DWORD","KERNEL32.DLL","Imported","1","0"
"DeleteCriticalSection","External[003ee558]","External Function","void","KERNEL32.DLL","Imported","6","0"
"WaitForMultipleObjects","External[003ee570]","External Function","DWORD","KERNEL32.DLL","Imported","2","0"
"GetFileSize","External[003ee58a]","External Function","DWORD","KERNEL32.DLL","Imported","2","0"
"GetUserGeoID","External[003ee598]","External Function","GEOID","KERNEL32.DLL","Imported","2","0"
"GetUserDefaultLangID","External[003ee5a8]","External Function","LANGID","KERNEL32.DLL","Imported","2","0"
"GetModuleFileNameA","External[003ee5c0]","External Function","DWORD","KERNEL32.DLL","Imported","4","0"
"GetModuleHandleA","External[003ee5d6]","External Function","HMODULE","KERNEL32.DLL","Imported","10","0"
"VerifyVersionInfoA","External[003ee5ea]","External Function","BOOL","KERNEL32.DLL","Imported","1","0"
"VerSetConditionMask","External[003ee600]","External Data","","KERNEL32.DLL","Imported","1","0"
"GetFileAttributesA","External[003ee616]","External Function","DWORD","KERNEL32.DLL","Imported","3","0"
"ExpandEnvironmentStringsA","External[003ee62c]","External Function","DWORD","KERNEL32.DLL","Imported","2","0"
"SetThreadExecutionState","External[003ee648]","External Function","EXECUTION_STATE","KERNEL32.DLL","Imported","3","0"
"SetThreadAffinityMask","External[003ee662]","External Function","DWORD_PTR","KERNEL32.DLL","Imported","2","0"
"GetCurrentThread","External[003ee67a]","External Function","HANDLE","KERNEL32.DLL","Imported","2","0"
"OutputDebugStringA","External[003ee68e]","External Function","void","KERNEL32.DLL","Imported","7","0"
"GetCommandLineA","External[003ee6a4]","External Function","LPSTR","KERNEL32.DLL","Imported","2","0"
"HeapFree","External[003ee6b6]","External Function","BOOL","KERNEL32.DLL","Imported","7","0"
"GetVersionExA","External[003ee6c2]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"HeapAlloc","External[003ee6d2]","External Function","LPVOID","KERNEL32.DLL","Imported","8","0"
"GetProcessHeap","External[003ee6de]","External Function","HANDLE","KERNEL32.DLL","Imported","6","0"
"GetStartupInfoA","External[003ee6f0]","External Function","void","KERNEL32.DLL","Imported","3","0"
"GetLastError","External[003ee702]","External Function","DWORD","KERNEL32.DLL","Imported","31","0"
"HeapReAlloc","External[003ee712]","External Function","LPVOID","KERNEL32.DLL","Imported","4","0"
"TerminateProcess","External[003ee720]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"UnhandledExceptionFilter","External[003ee734]","External Function","LONG","KERNEL32.DLL","Imported","4","0"
"SetUnhandledExceptionFilter","External[003ee750]","External Function","LPTOP_LEVEL_EXCEPTION_FILTER","KERNEL32.DLL","Imported","5","0"
"IsDebuggerPresent","External[003ee76e]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"RaiseException","External[003ee782]","External Function","void","KERNEL32.DLL","Imported","3","0"
"RtlUnwind","External[003ee794]","External Function","void","KERNEL32.DLL","Imported","3","0"
"GetProcAddress","External[003ee7a0]","External Function","FARPROC","KERNEL32.DLL","Imported","17","0"
"ExitProcess","External[003ee7b2]","External Function","void","KERNEL32.DLL","Imported","2","0"
"SetConsoleCtrlHandler","External[003ee7c0]","External Function","BOOL","KERNEL32.DLL","Imported","1","0"
"TlsGetValue","External[003ee7d8]","External Function","LPVOID","KERNEL32.DLL","Imported","6","0"
"TlsAlloc","External[003ee7e6]","External Function","DWORD","KERNEL32.DLL","Imported","3","0"
"TlsSetValue","External[003ee7f2]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"TlsFree","External[003ee800]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"InterlockedIncrement","External[003ee80a]","External Function","LONG","KERNEL32.DLL","Imported","13","0"
"SetLastError","External[003ee822]","External Function","void","KERNEL32.DLL","Imported","2","0"
"InterlockedDecrement","External[003ee832]","External Function","LONG","KERNEL32.DLL","Imported","20","0"
"HeapSize","External[003ee84a]","External Function","SIZE_T","KERNEL32.DLL","Imported","2","0"
"GetStdHandle","External[003ee856]","External Function","HANDLE","KERNEL32.DLL","Imported","3","0"
"FreeEnvironmentStringsA","External[003ee866]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"GetEnvironmentStrings","External[003ee880]","External Function","LPCH","KERNEL32.DLL","Imported","2","0"
"FreeEnvironmentStringsW","External[003ee898]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"WideCharToMultiByte","External[003ee8b2]","External Function","int","KERNEL32.DLL","Imported","22","0"
"GetEnvironmentStringsW","External[003ee8c8]","External Function","LPWCH","KERNEL32.DLL","Imported","3","0"
"SetHandleCount","External[003ee8e2]","External Function","UINT","KERNEL32.DLL","Imported","2","0"
"GetFileType","External[003ee8f4]","External Function","DWORD","KERNEL32.DLL","Imported","4","0"
"HeapDestroy","External[003ee902]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"HeapCreate","External[003ee910]","External Function","HANDLE","KERNEL32.DLL","Imported","2","0"
"VirtualFree","External[003ee91e]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"GetCurrentProcessId","External[003ee92c]","External Function","DWORD","KERNEL32.DLL","Imported","2","0"
"GetSystemTimeAsFileTime","External[003ee942]","External Function","void","KERNEL32.DLL","Imported","2","0"
"FatalAppExitA","External[003ee95c]","External Function","void","KERNEL32.DLL","Imported","1","0"
"VirtualAlloc","External[003ee96c]","External Function","LPVOID","KERNEL32.DLL","Imported","3","0"
"SetFilePointer","External[003ee97c]","External Function","DWORD","KERNEL32.DLL","Imported","3","0"
"GetConsoleCP","External[003ee98e]","External Function","UINT","KERNEL32.DLL","Imported","2","0"
"GetConsoleMode","External[003ee99e]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"FlushFileBuffers","External[003ee9b0]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"GetCPInfo","External[003ee9c4]","External Function","BOOL","KERNEL32.DLL","Imported","7","0"
"GetACP","External[003ee9d0]","External Function","UINT","KERNEL32.DLL","Imported","2","0"
"GetOEMCP","External[003ee9da]","External Function","UINT","KERNEL32.DLL","Imported","2","0"
"IsValidCodePage","External[003ee9e6]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"LCMapStringA","External[003ee9f8]","External Function","int","KERNEL32.DLL","Imported","4","0"
"LCMapStringW","External[003eea08]","External Function","int","KERNEL32.DLL","Imported","5","0"
"SetStdHandle","External[003eea18]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"FreeLibrary","External[003eea28]","External Function","BOOL","KERNEL32.DLL","Imported","1","0"
"InterlockedExchange","External[003eea36]","External Function","LONG","KERNEL32.DLL","Imported","1","0"
"LoadLibraryA","External[003eea4c]","External Function","HMODULE","KERNEL32.DLL","Imported","2","0"
"GetLocaleInfoA","External[003eea5c]","External Function","int","KERNEL32.DLL","Imported","14","0"
"GetLocaleInfoW","External[003eea6e]","External Function","int","KERNEL32.DLL","Imported","6","0"
"WriteConsoleA","External[003eea80]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"GetConsoleOutputCP","External[003eea90]","External Function","UINT","KERNEL32.DLL","Imported","2","0"
"WriteConsoleW","External[003eeaa6]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"GetStringTypeA","External[003eeab6]","External Function","BOOL","KERNEL32.DLL","Imported","3","0"
"GetStringTypeW","External[003eeac8]","External Function","BOOL","KERNEL32.DLL","Imported","5","0"
"GetUserDefaultLCID","External[003eeada]","External Function","LCID","KERNEL32.DLL","Imported","2","0"
"EnumSystemLocalesA","External[003eeaf0]","External Function","BOOL","KERNEL32.DLL","Imported","4","0"
"IsValidLocale","External[003eeb06]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"SetEndOfFile","External[003eeb16]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"GetTimeZoneInformation","External[003eeb26]","External Function","DWORD","KERNEL32.DLL","Imported","2","0"
"CompareStringA","External[003eeb40]","External Function","int","KERNEL32.DLL","Imported","2","0"
"CompareStringW","External[003eeb52]","External Function","int","KERNEL32.DLL","Imported","3","0"
"SetEnvironmentVariableA","External[003eeb64]","External Function","BOOL","KERNEL32.DLL","Imported","2","0"
"OutputDebugStringW","External[003eeb7e]","External Function","void","KERNEL32.DLL","Imported","6","0"
"SetCursor","External[003eeba2]","External Function","HCURSOR","USER32.DLL","Imported","4","0"
"MapVirtualKeyExA","External[003eebae]","External Function","UINT","USER32.DLL","Imported","1","0"
"LoadKeyboardLayoutA","External[003eebc2]","External Function","HKL","USER32.DLL","Imported","1","0"
"SystemParametersInfoA","External[003eebd8]","External Function","BOOL","USER32.DLL","Imported","16","0"
"MessageBoxA","External[003eebf0]","External Function","int","USER32.DLL","Imported","6","0"
"UpdateWindow","External[003eebfe]","External Function","BOOL","USER32.DLL","Imported","4","0"
"ShowWindow","External[003eec0e]","External Function","BOOL","USER32.DLL","Imported","4","0"
"GetSystemMetrics","External[003eec1c]","External Function","int","USER32.DLL","Imported","2","0"
"DispatchMessageA","External[003eec30]","External Function","LRESULT","USER32.DLL","Imported","2","0"
"TranslateMessage","External[003eec44]","External Function","BOOL","USER32.DLL","Imported","2","0"
"PeekMessageA","External[003eec58]","External Function","BOOL","USER32.DLL","Imported","3","0"
"SetCursorPos","External[003eec68]","External Function","BOOL","USER32.DLL","Imported","2","0"
"DestroyWindow","External[003eec78]","External Function","BOOL","USER32.DLL","Imported","2","0"
"DefWindowProcA","External[003eec88]","External Function","LRESULT","USER32.DLL","Imported","3","0"
"PostQuitMessage","External[003eec9a]","External Function","void","USER32.DLL","Imported","2","0"
"AdjustWindowRect","External[003eecac]","External Function","BOOL","USER32.DLL","Imported","2","0"
"GetWindowLongA","External[003eecc0]","External Function","LONG","USER32.DLL","Imported","2","0"
"CreateWindowExA","External[003eecd2]","External Function","HWND","USER32.DLL","Imported","2","0"
"RegisterClassExA","External[003eece4]","External Function","ATOM","USER32.DLL","Imported","2","0"
"LoadCursorA","External[003eecf8]","External Function","HCURSOR","USER32.DLL","Imported","2","0"
"LoadIconA","External[003eed06]","External Function","HICON","USER32.DLL","Imported","2","0"
"MoveWindow","External[003eed12]","External Function","BOOL","USER32.DLL","Imported","2","0"
"MessageBoxW","External[003eed20]","External Function","int","USER32.DLL","Imported","2","0"
"GetForegroundWindow","External[003eed2e]","External Function","HWND","USER32.DLL","Imported","3","0"
"DeleteObject","External[003eed44]","External Function","BOOL","GDI32.DLL","Imported","3","0"
"RegCloseKey","External[003eed5e]","External Function","LSTATUS","ADVAPI32.DLL","Imported","2","0"
"RegQueryValueExA","External[003eed6c]","External Function","LSTATUS","ADVAPI32.DLL","Imported","2","0"
"RegOpenKeyExA","External[003eed80]","External Function","LSTATUS","ADVAPI32.DLL","Imported","2","0"
"ShellExecuteA","External[003eed9e]","External Function","HINSTANCE","SHELL32.DLL","Imported","2","0"
"SHGetFolderPathA","External[003eedae]","External Function","undefined","SHELL32.DLL","Imported","5","0"
"SHCreateDirectoryExA","External[003eedc2]","External Function","int","SHELL32.DLL","Imported","2","0"
"CoUninitialize","External[003eede6]","External Function","void","OLE32.DLL","Imported","4","0"
"CoSetProxyBlanket","External[003eedf8]","External Function","HRESULT","OLE32.DLL","Imported","2","0"
